school,region,lat,lon,reason
APERADE SENIOR HIGH/TECH SCHOOL,EASTERN,10.0272463,-0.9731496,"LAT 10.0272 outside (5.3, 7.3)"
NIFA SENIOR HIGH SCHOOL,EASTERN,9.4273607,-0.8767444,"LAT 9.4274 outside (5.3, 7.3)"
J.E.A. MILLS SENIOR HIGH SCHOOL,CENTRAL,9.4226781,-0.8620235,"LAT 9.4227 outside (4.7, 6.5)"
EKUMFI T. I. AHMADIIYYA SENIOR HIGH SCHOOL,CENTRAL,9.4064815,-0.8770518,"LAT 9.4065 outside (4.7, 6.5)"
"S.D.A. SENIOR HIGHSCHOOL, AKIM SEKYERE",EASTERN,7.3449525,-2.3439664,"LAT 7.3450 outside (5.3, 7.3)"
TAPAMAN SENIOR HIGH/TECH SCHOOL,OTI,9.4226781,-0.8620235,"LAT 9.4227 outside (6.75, 9.4)"
NKONYA SENIOR HIGH SCHOOL,OTI,5.9668857,-0.9929572,"LAT 5.9669 outside (6.75, 9.4)"
NSAWORA EDUMAFA COMM. SENIOR HIGH SCHOOL,WESTERN NORTH,5.4234565,-0.9611574,"LON -0.9612 outside (-3.3, -1.8)"
ASARE BEDIAKO SENIOR HIGH SCHOOL,ASHANTI,5.8771706,0.3662603,"LON 0.3663 outside (-3.1, -0.05)"
KPANDO TECH. INST.,VOLTA,,,MISSING
NEW LONGORO COMM SENIOR HIGH SCHOOL (DEGA),BONO EAST,8.0,-2.45,"LON -2.4500 outside (-2.2, 0.1)"
ST. MARY'S VOC./TECH. INST.,EASTERN,4.9167,-1.8667,"LAT 4.9167 outside (5.3, 7.3)"
ADA TECH. INST.,GREATER ACCRA,5.7975,0.6258,"LON 0.6258 outside (-0.5, 0.55)"
KRABOA-COALTAR PRESBY SENIOR HIGH SCHOOL HIGH/TECH.,EASTERN,,,MISSING
"ST. MARY'S SEM.& SENIOR HIGH SCHOOL, LOLOBI",VOLTA,,,MISSING
GYAASE COMMUNITY SENIOR HIGH SCHOOL,CENTRAL,7.993766,-0.326021,"LAT 7.9938 outside (4.7, 6.5)"
ST. JOSEPH'S TECH. INST.,EASTERN,9.4007,-0.8393,"LAT 9.4007 outside (5.3, 7.3)"
"ST. DOMINIC'S SENIOR HIGH/TECH SCHOOL, PEPEASE",EASTERN,,,MISSING
ADANKWAMAN SENIOR HIGH SCHOOL,CENTRAL,5.8771706,0.3662603,"LON 0.3663 outside (-2.2, -0.1)"
ACCRA TECH. TRG. CENTRE,GREATER ACCRA,,,MISSING
TAWHEED SENIOR HIGH SCHOOL,ASHANTI,5.8771706,0.3662603,"LON 0.3663 outside (-3.1, -0.05)"
