school,region,method,old_lat,old_lon,new_lat,new_lon
"OUR LADY OF MOUNT CARMEL GIRLS SENIOR HIGH SCHOOL, TECHIMAN",BONO EAST,TOWN_LOOKUP:TECHIMAN,7.5580494,-1.937679,7.5833,-1.9333
YEBOAH ASUAMAH SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,5.5009936,-0.7618399,7.95,-1.3
TECHIMAN SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,7.2316721,-2.1751937,7.5833,-1.9333
NEW KROKOMPE COMM. SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,6.8901817,-1.2489599,7.5667,-1.2833
ATEBUBU SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,5.9668857,-0.9929572,7.75,-0.9833
AMANTEN SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,9.4226781,-0.8620235,8.1667,-1.1833
KWARTENG ANKOMAH SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,7.4635891,-1.9709609,7.4636,-1.971
DODI-PAPASE SENIOR HIGH/TECH SCHOOL,OTI,SCHOOL_OVERRIDE,6.8901817,-1.2489599,7.9,0.2
KADJEBI-ASATO SENIOR HIGH SCHOOL,OTI,SCHOOL_OVERRIDE,5.8771706,0.3662603,7.5167,0.4667
AHAMANSU ISLAMIC SENIOR HIGH SCHOOL,OTI,SCHOOL_OVERRIDE,9.3743188,-0.8407925,7.9,-0.2
"OLA GIRLS SENIOR HIGH SCHOOL, KENYASI",AHAFO,SCHOOL_OVERRIDE,7.190168,0.337969,6.8833,-2.7833
GYAMFI KUMANINI SENIOR HIGH/TECH SCHOOL,AHAFO,SCHOOL_OVERRIDE,7.142572,-1.6406402,7.1833,-2.5167
JIM BOURTON MEM AGRIC. SENIOR HIGH SCHOOL,VOLTA,SCHOOL_OVERRIDE,6.8901817,-1.2489599,6.5833,0.35
BISEASE SENIOR HIGH/COMM. SCHOOL,CENTRAL,SCHOOL_OVERRIDE,7.3366184,-2.304839,5.5833,-1.1
LEKLEBI SENIOR HIGH SCHOOL,VOLTA,SCHOOL_OVERRIDE,9.4226781,-0.8620235,7.2167,0.5167
JEMA SENIOR HIGH SCHOOL,BONO EAST,SCHOOL_OVERRIDE,5.4234565,-0.9611574,7.6167,-1.55
BANKOMAN SENIOR HIGH SCHOOL,ASHANTI,SCHOOL_OVERRIDE,5.5950893,-0.277005,5.85,-0.9167
DADEASE AGRIC SENIOR HIGH SCHOOL,ASHANTI,SCHOOL_OVERRIDE,5.8771706,0.3662603,6.5833,-1.0167
ATWEAMAN SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,9.4226781,-0.8620235,6.7333,-0.4167
NEW ABIREM/AFOSU SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,10.6593164,-1.268658,6.4,-0.7
NKENKANSU COMMUNITY SENIOR HIGH SCHOOL,ASHANTI,SCHOOL_OVERRIDE,7.993766,-0.326021,7.05,-1.5
WIAFE AKENTEN PRESBY SENIOR HIGH SCHOOL,ASHANTI,SCHOOL_OVERRIDE,9.3953646,-0.8216087,7.0833,-1.55
ASUOSO COMM. SENIOR HIGH SCHOOL,ASHANTI,SCHOOL_OVERRIDE,7.993766,-0.326021,7.05,-1.6
AKUMADAN SENIOR HIGH SCHOOL,ASHANTI,TOWN_LOOKUP:AKUMADAN,5.8771706,0.3662603,7.45,-1.7833
OTI BOATENG SENIOR HIGH SCHOOL,EASTERN,SCHOOL_OVERRIDE,10.6593164,-1.268658,6.4,-0.7
ATTAFUAH SENIOR HIGH/TECH SCHOOL,EASTERN,SCHOOL_OVERRIDE,10.0272463,-0.9731496,6.0833,-0.55
"ST. FRANCIS SENIOR HIGH/TECH SCHOOL, AKIM ODA",EASTERN,TOWN_LOOKUP:AKIM ODA,,,5.9167,-0.9833
ST. THOMAS SENIOR HIGH/TECH SCHOOL,EASTERN,TOWN_LOOKUP:ASAMANKESE,6.6556435,-1.1071968,5.8667,-0.6583
